CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr FileName AN CE DS HP NE SA SC SR
HP 0.909194 DS HP 0.241540 3.583716 3.583716 0 0 0 /home/sielicki/data/BC2E_1072x712/S18/S18MK1/S18MK1HP/DSC_0449.JPG 0.017207 0.015149 0.541842 0.154229 0.012926 0.220817 0.011518 0.026312
SA 0.886771 DS SR 2.183139 3.583716 3.163785 0 0 0 /home/sielicki/data/BC2E_1072x712/S13/S13MK1/S13MK1SA/DSC_0566_01.JPG 0.003398 0.001218 0.512303 0.051307 0.000120 0.002943 0.134753 0.293956
CE 0.970829 CE AN -1.042086 3.583716 0.986066 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK7/S1MK7CE/DSC_0238.JPG 0.010491 0.970829 0.013396 0.000716 0.000574 0.003108 0.000495 0.000392
SR 0.796188 DS DS 6.751359 3.583716 1.565488 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1MK8/S1MK8SR/DSC_0780.JPG 0.018974 0.004022 0.685721 0.099863 0.041311 0.090080 0.058031 0.001998
DS 0.544934 DS SA 0.052140 3.583716 3.161735 0 0 0 /home/sielicki/data/BC2E_1072x712/S12/S12NM2/S12NM2DS/DSC_0870.JPG 0.092765 0.005905 0.259067 0.474924 0.020680 0.098030 0.018252 0.030378
DS 0.999389 DS AN 3.158333 3.583716 3.242629 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK6/S1MK6DS/DSC_0379.JPG 0.000073 0.000048 0.999389 0.000174 0.000080 0.000175 0.000009 0.000053
SR 0.739546 AN SA 4.244596 3.583716 4.587606 1 1 0 /home/sielicki/data/BC2E_1072x712/S6/S6MK2/S6MK2SR/DSC_0522.JPG 0.240518 0.000924 0.089420 0.016631 0.018682 0.246084 0.176944 0.210796
NE 0.815900 SR SC 1.951075 3.583716 4.504693 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK4/S1MK4NE/DSC_0911_01.JPG 0.007755 0.004773 0.017565 0.005789 0.086167 0.084336 0.146083 0.647532
DS 0.926406 DS AN 0.996339 3.583716 2.704166 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1DS/DSC_0539_01.JPG 0.000681 0.000293 0.926406 0.071251 0.000047 0.000477 0.000627 0.000217
SR 0.658538 AN SC 4.923868 3.583716 2.148537 1 1 1 /home/sielicki/data/BC2E_1072x712/S3/S3HD2/S3HD2SR/DSC_0926.JPG 0.287253 0.006052 0.094859 0.187927 0.118661 0.066884 0.234484 0.003879
NE 0.869091 SA NE 0.079671 3.583716 2.509744 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1NE/DSC_0403.JPG 0.005970 0.008416 0.003215 0.022550 0.163689 0.791126 0.003593 0.001441
SC 0.991926 SC AN 0.982735 3.583716 2.410999 0 0 0 /home/sielicki/data/BC2E_1072x712/S11/S11NM3/S11NM3SC/DSC_0627_17079.JPG 0.000960 0.000002 0.000006 0.000003 0.000037 0.000023 0.991926 0.007044
HP 0.755455 HP HP 5.367563 3.583716 2.302256 1 1 1 /home/sielicki/data/BC2E_1072x712/S16/S16MK1/S16MK1HP/DSC_0422.JPG 0.007973 0.000989 0.521043 0.438376 0.000218 0.003189 0.025896 0.002315
SC 0.900768 DS DS 4.301448 3.583716 2.374567 1 1 1 /home/sielicki/data/BC2E_1072x712/S12/S12MK2/S12MK2SC/DSC_0169.JPG 0.046253 0.022314 0.691434 0.012263 0.007369 0.158817 0.043713 0.017839
SC 0.753136 SR AN 1.083045 3.583716 2.708386 0 0 0 /home/sielicki/data/BC2E_1072x712/S2/S2GL1/S2GL1SC/DSC_0918.JPG 0.157976 0.023166 0.028426 0.051242 0.000216 0.000820 0.180889 0.557266
DS 0.944737 DS HP 1.032009 3.583716 2.659814 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1DS/DSC_0535.JPG 0.003916 0.001416 0.716766 0.270932 0.000230 0.005961 0.000416 0.000364
CE 0.999962 CE CE 5.169844 3.583716 2.025402 1 1 1 /home/sielicki/data/BC2E_1072x712/S2/S2NM2/S2NM2CE/DSC_0355.JPG 0.000001 0.999962 0.000002 0.000001 0.000016 0.000008 0.000006 0.000004
HP 0.982934 HP HP 6.939653 3.583716 2.168661 1 1 1 /home/sielicki/data/BC2E_1072x712/S4/S4NM2/S4NM2HP/DSC_0582.JPG 0.003026 0.000056 0.003186 0.982934 0.000042 0.000068 0.000262 0.010427
AN 0.793884 AN AN 5.585919 3.583716 0.621808 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0516.JPG 0.579000 0.000755 0.295425 0.100372 0.000100 0.002689 0.020121 0.001539
HP 0.806054 AN AN 4.089439 3.583716 -0.000001 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1HP/DSC_0960.JPG 0.418411 0.001500 0.333379 0.239681 0.000305 0.001339 0.003863 0.001522
SA 0.716749 SA AN 1.976897 3.583716 0.000242 0 0 1 /home/sielicki/data/BC2E_1072x712/S19/S19GL1/S19GL1SA/DSC_0759.JPG 0.133187 0.049336 0.094302 0.048988 0.076559 0.541533 0.012655 0.043439
SC 0.981479 SA SA 4.998157 3.583716 0.000000 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1SC/DSC_0492.JPG 0.108748 0.012106 0.042763 0.101303 0.002969 0.730657 0.001108 0.000346
SA 0.812864 AN HP 0.278605 3.583716 1.694446 0 0 0 /home/sielicki/data/BC2E_1072x712/S7/S7FM2/S7FM2SA/DSC_0905.JPG 0.479192 0.003762 0.022378 0.127164 0.001030 0.050135 0.295040 0.021299
HP 0.944655 HP AN -0.088380 3.583716 1.769755 0 0 0 /home/sielicki/data/BC2E_1072x712/S10/S10NM2/S10NM2HP/DSC_0980.JPG 0.033959 0.000030 0.000311 0.944655 0.000029 0.000007 0.000103 0.020905
CE 0.866042 CE CE 5.660236 3.583716 1.978992 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7HD2/S7HD2CE/DSC_0248.JPG 0.000359 0.519530 0.000933 0.354380 0.003810 0.120171 0.000047 0.000771
SC 0.804103 SR SR 3.850899 3.583716 2.063846 1 1 1 /home/sielicki/data/BC2E_1072x712/S6/S6MK2/S6MK2SC/DSC_0480.JPG 0.065554 0.001061 0.167889 0.135635 0.000603 0.011631 0.037381 0.580246
