CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr FileName AN CE DS HP NE SA SC SR
AN 0.928031 DS DS 2.589501 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S2/S2GL1/S2GL1AN/DSC_0961.JPG 0.067295 0.096719 0.579048 0.012786 0.000827 0.003852 0.224016 0.015457
SA 0.780035 SA DS 2.818356 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S2/S2HD1/S2HD1SA/DSC_0056.JPG 0.004796 0.016059 0.327451 0.047155 0.007822 0.558107 0.013117 0.025494
NE 0.901980 NE NE 4.149160 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S3/S3NM3/S3NM3NE/DSC_0870.JPG 0.005520 0.000829 0.023906 0.006919 0.709202 0.252883 0.000432 0.000309
SR 0.854303 SR AN 1.738907 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK2/S1MK2SR/DSC_0928.JPG 0.259738 0.001995 0.153174 0.004323 0.004392 0.023841 0.060469 0.492069
SC 0.711546 NE DS 1.284068 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1SC/DSC_0984.JPG 0.059771 0.026891 0.174805 0.004123 0.324075 0.346417 0.038057 0.025860
AN 0.804091 DS DS 3.830581 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S14/S14GL1/S14GL1AN/DSC_0501_01.JPG 0.209560 0.003397 0.538132 0.236294 0.000188 0.007516 0.002679 0.002234
DS 0.920274 DS DS 5.730962 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S1/S1MK7/S1MK7DS/DSC_0366.JPG 0.005850 0.001390 0.789449 0.036202 0.124585 0.035133 0.003509 0.003883
DS 0.690362 DS DS 5.640806 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S19/S19GL1/S19GL1DS/DSC_0850.JPG 0.449456 0.001558 0.459484 0.002087 0.000356 0.062394 0.023322 0.001343
DS 0.873745 SR DS 0.819935 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S4/S4NM2/S4NM2DS/DSC_0658.JPG 0.097483 0.000119 0.125097 0.030512 0.000339 0.000262 0.164414 0.581774
SC 0.753563 DS AN 0.229974 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S12/S12NM2/S12NM2SC/DSC_0830.JPG 0.117859 0.000086 0.350799 0.429213 0.000553 0.000299 0.018784 0.082407
NE 0.735659 DS SC 2.359696 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S11/S11MK2/S11MK2NE/DSC_0229.JPG 0.192642 0.006148 0.446605 0.026830 0.000920 0.050110 0.258575 0.018170
SC 0.897736 DS DS 4.413967 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S11/S11MK1/S11MK1SC/DSC_0168_01.JPG 0.067065 0.005350 0.422826 0.270025 0.000109 0.000427 0.231216 0.002984
SC 0.935252 SC SC 3.835195 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S14/S14HD1/S14HD1SC/DSC_0653_01.JPG 0.048394 0.000016 0.009058 0.000024 0.002527 0.136523 0.803044 0.000414
SA 0.681025 SA DS 2.038364 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S14/S14GL1/S14GL1SA/DSC_0436_01.JPG 0.018528 0.145417 0.415438 0.004707 0.001601 0.411476 0.002434 0.000399
SA 0.759614 AN SA 1.861120 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S5/S5MK1/S5MK1SA/DSC_0239_01.JPG 0.499056 0.009617 0.058506 0.003575 0.076055 0.325520 0.008931 0.018741
NE 0.631272 DS CE 0.373490 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S10/S10MK4/S10MK4NE/DSC_0743_01.JPG 0.019213 0.180193 0.198772 0.155237 0.009239 0.261770 0.045374 0.130203
SA 0.738443 DS AN -0.094439 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK8/S1MK8SA/DSC_0753.JPG 0.210756 0.006428 0.530131 0.069767 0.002061 0.152859 0.018562 0.009436
NE 0.743652 DS AN -0.791485 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK2/S1MK2NE/DSC_0874.JPG 0.104260 0.014665 0.249791 0.001760 0.007916 0.285054 0.333741 0.002813
CE 0.757686 AN CE 0.407182 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S19/S19GL1/S19GL1CE/DSC_0734.JPG 0.440179 0.148635 0.185193 0.002372 0.031400 0.184159 0.005882 0.002180
NE 0.720495 SA DS 2.901898 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S2/S2HD1/S2HD1NE/DSC_0017.JPG 0.015189 0.052374 0.114751 0.066789 0.058811 0.637746 0.008327 0.046012
DS 0.652316 DS DS 3.519222 3.633225 3.633225 1 0 0 /home/sielicki/data/BC2E_1072x712/S1/S1MK7/S1MK7DS/DSC_0367.JPG 0.007408 0.002344 0.307195 0.262640 0.251478 0.102524 0.007180 0.059232
AN 0.885960 AN AN 4.627464 3.633225 3.633225 1 1 1 /home/sielicki/data/BC2E_1072x712/S7/S7HD1/S7HD1AN/DSC_0182.JPG 0.885960 0.000036 0.001591 0.110838 0.000029 0.000030 0.001315 0.000202
SC 0.682727 AN AN 2.730649 3.633225 3.633225 0 0 0 /home/sielicki/data/BC2E_1072x712/S19/S19GL1/S19GL1SC/DSC_0780.JPG 0.431727 0.012628 0.117296 0.022501 0.021696 0.229036 0.068526 0.096589
