CorrectClass MeanPredictScore PredictClassMax PredictClassTr TrustScore TrustThresholdTr TrustThresholdCurr TrustFlag05 TrustFlagTr TrustFlagCurr TrustScoreLb FileName S1 S10 S11 S12 S13 S14 S15 S16 S17 S18 S19 S2 S20 S21 S3 S4 S5 S6 S7 S8 S9
S1 0.999975 S1 S1 7.103662 4.122648 4.122648 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0384.JPG 0.999975 0.000000 0.000000 0.000000 0.000005 0.000004 0.000000 0.000000 0.000000 0.000000 0.000007 0.000000 0.000001 0.000000 0.000001 0.000001 0.000001 0.000000 0.000002 0.000000 0.000001
S1 0.999946 S1 S1 7.102213 4.122648 4.122648 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0385.JPG 0.999946 0.000000 0.000001 0.000000 0.000026 0.000004 0.000001 0.000001 0.000001 0.000000 0.000006 0.000001 0.000001 0.000000 0.000001 0.000001 0.000003 0.000000 0.000005 0.000000 0.000001
S1 0.999973 S1 S1 7.103608 4.122648 4.122648 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0386.JPG 0.999973 0.000000 0.000001 0.000000 0.000005 0.000002 0.000001 0.000001 0.000001 0.000000 0.000005 0.000001 0.000001 0.000000 0.000001 0.000001 0.000002 0.000001 0.000005 0.000000 0.000001
S1 0.999975 S1 S1 7.103172 4.122648 4.122648 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0387.JPG 0.999975 0.000000 0.000000 0.000000 0.000009 0.000002 0.000000 0.000000 0.000000 0.000000 0.000006 0.000000 0.000001 0.000000 0.000000 0.000000 0.000001 0.000000 0.000002 0.000000 0.000000
S1 0.999936 S1 S1 7.100980 4.122648 4.122648 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0388.JPG 0.999936 0.000000 0.000001 0.000000 0.000042 0.000003 0.000001 0.000001 0.000000 0.000000 0.000005 0.000000 0.000001 0.000000 0.000001 0.000001 0.000003 0.000001 0.000003 0.000000 0.000000
S1 0.999964 S1 S1 7.103104 4.122648 4.122648 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0389.JPG 0.999964 0.000000 0.000001 0.000001 0.000009 0.000003 0.000000 0.000001 0.000001 0.000000 0.000005 0.000000 0.000002 0.000000 0.000001 0.000001 0.000002 0.000002 0.000007 0.000000 0.000001
S1 0.999977 S1 S1 7.103887 4.122648 4.122648 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0390.JPG 0.999977 0.000000 0.000000 0.000000 0.000005 0.000003 0.000000 0.000000 0.000001 0.000000 0.000003 0.000000 0.000001 0.000000 0.000000 0.000000 0.000001 0.000000 0.000006 0.000000 0.000000
S1 0.999934 S1 S1 7.104465 4.122648 4.122648 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0391.JPG 0.999934 0.000000 0.000001 0.000000 0.000035 0.000003 0.000001 0.000001 0.000001 0.000000 0.000005 0.000001 0.000001 0.000000 0.000001 0.000001 0.000004 0.000001 0.000009 0.000000 0.000000
S1 0.999955 S1 S1 7.102499 4.122648 4.122648 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0392.JPG 0.999955 0.000000 0.000001 0.000000 0.000006 0.000003 0.000001 0.000001 0.000002 0.000000 0.000004 0.000001 0.000001 0.000000 0.000001 0.000001 0.000003 0.000001 0.000016 0.000001 0.000001
S1 0.999806 S1 S1 7.097333 4.122648 4.122648 1 1 1 7.000000 /home/sielicki/data/BC2_1072x712/S1/S1GL1/DSC_0393.JPG 0.999806 0.000000 0.000002 0.000001 0.000025 0.000025 0.000003 0.000005 0.000002 0.000002 0.000093 0.000001 0.000003 0.000001 0.000006 0.000005 0.000004 0.000002 0.000013 0.000001 0.000001
